"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PTGES3",3.62856347318508e-14,0.576013019464444,0.17,0.054,9.66177596004991e-10
"FCAR",3.74002879192462e-14,-1.06420372211137,0.11,0.272,9.9585746642577e-10
"RPL28",3.87513405221982e-14,0.744726225450552,0.671,0.53,1.03183194408457e-09
"RPL7",4.20645527349369e-14,0.686202472545941,0.229,0.092,1.12005284567317e-09
"TRIM8",4.98438684369843e-14,0.740755697843252,0.123,0.03,1.32719268487158e-09
"MX2",5.26177747767216e-14,-0.948472790690372,0.313,0.472,1.40105348897977e-09
"RPLP0",5.26956673216994e-14,0.7807456387558,0.233,0.094,1.40312753377489e-09
"PTPN6",5.32518897727991e-14,0.853076063641188,0.278,0.129,1.41793806898032e-09
"GZMM",5.42350930361745e-14,0.537892230643813,0.135,0.036,1.44411782227422e-09
"DDX3Y",5.63577951594459e-14,-1.27508518217331,0.078,0.228,1.50063901171057e-09
"RPL35A",6.72623982564488e-14,0.788685176152086,0.348,0.181,1.79099587837446e-09
"FOSL1",7.51744561502012e-14,-1.19875667688922,0.016,0.133,2.00167024391141e-09
"ARPC5L",7.53997418764817e-14,0.482216031681613,0.119,0.028,2.00766892694508e-09
"LGALS1",7.66295746312743e-14,0.825299770880459,0.168,0.055,2.04041568370694e-09
"RPL37",8.16889118003934e-14,0.67286351744542,0.534,0.369,2.17513065450908e-09
"RPSA",8.48956934584494e-14,0.913938895375296,0.211,0.083,2.26051762971813e-09
"PPIB",9.63184613985448e-14,0.688928452128428,0.225,0.09,2.56467167165905e-09
"RPS5",9.93476473768178e-14,0.798586302372301,0.249,0.106,2.64532980670253e-09
"DYNLL1",1.27942068957325e-13,0.692512820203667,0.17,0.057,3.4067134701267e-09
"SCAND1",1.41364890787751e-13,0.600348571642748,0.155,0.047,3.76412294700545e-09
"ATP5F1D",1.44785161456959e-13,0.695842669963892,0.18,0.063,3.85519449411446e-09
"EIF3K",1.56606136757408e-13,0.749335514189297,0.241,0.101,4.1699516034395e-09
"PHACTR1",1.81610043007495e-13,-0.782749343884185,0.229,0.412,4.83573061516057e-09
"FTL",1.8275009118654e-13,0.433956778718712,0.992,0.984,4.86608667802399e-09
"SEPTIN1",2.24274326125972e-13,0.480441588862597,0.108,0.024,5.97175248175625e-09
"SRP14",2.3531046320363e-13,0.698736840699914,0.368,0.197,6.26561170372306e-09
"TBCB",2.68234194348566e-13,0.526863790229155,0.123,0.031,7.14227189291927e-09
"CCL5",2.72298486381036e-13,1.06325224609054,0.219,0.089,7.25049179686784e-09
"CCNDBP1",2.94135162265949e-13,0.58110117039153,0.16,0.051,7.83193696565543e-09
"DOK2",3.47462998537069e-13,0.424800260623927,0.112,0.026,9.25189726204655e-09
"RPL36",3.99038730997882e-13,0.697188691747892,0.297,0.141,1.06252042902806e-08
"HIST1H1E",4.30812819645253e-13,0.65506198460149,0.145,0.045,1.14712529486942e-08
"LITAF",4.6242993887328e-13,-0.479053173481947,0.759,0.847,1.23131219823788e-08
"HIST1H1C",5.07975039173277e-13,0.904230365615854,0.149,0.047,1.35258513680668e-08
"POLR2L",5.92245939034929e-13,0.602419403510583,0.159,0.052,1.5769732618683e-08
"EEF1B2",6.15175517824923e-13,0.792941647999352,0.205,0.083,1.63802785131242e-08
"CARD8",6.18598476138865e-13,0.746793583999044,0.143,0.043,1.64714216241495e-08
"SELENOH",7.02966040477438e-13,0.477764105777643,0.106,0.024,1.87178767597927e-08
"C17orf107",8.5902116424942e-13,-1.09698026517237,0.025,0.143,2.28731565404693e-08
"CD52",9.80912892854709e-13,1.08315980688832,0.17,0.062,2.61187675980423e-08
"NDEL1",1.12484993192605e-12,-0.962977581319017,0.145,0.305,2.99513791373949e-08
"MALAT1",1.25842700908835e-12,0.286775348739745,0.99,0.985,3.35081359709956e-08
"RPS20",1.26705363411533e-12,0.741124485450696,0.231,0.1,3.3737837115589e-08
"PLEK",1.27515388969657e-12,-0.715894443649018,0.614,0.703,3.39535226209507e-08
"GIMAP4",1.38969063279195e-12,0.596915367718491,0.227,0.094,3.70032924793513e-08
"MAP3K1",1.40637740440757e-12,0.801092643957871,0.141,0.043,3.74476111471603e-08
"ABRACL",1.5159961586915e-12,0.533875469468865,0.11,0.026,4.03664297174785e-08
"LCP1",1.79471484264182e-12,-0.519557934374452,0.706,0.8,4.77878721150239e-08
"GSTP1",1.79656204571891e-12,0.598932991338543,0.149,0.048,4.78370575913575e-08
"APOBEC3G",1.81953006081287e-12,0.462391441443143,0.114,0.029,4.84486269292644e-08
"EID1",2.22394938012524e-12,0.470083594725679,0.112,0.028,5.92171001445948e-08
"BTF3",2.35922189740503e-12,0.586445463100276,0.209,0.084,6.28190014622038e-08
"CHCHD2",2.36898108004061e-12,0.687460909067434,0.307,0.155,6.30788592182414e-08
"TOMM7",2.51884850663426e-12,0.696376644580157,0.264,0.125,6.70693791861505e-08
"CFLAR",2.71419497319005e-12,0.652838471694929,0.429,0.254,7.22708695511314e-08
"SRRM1",2.92944539174711e-12,0.593362095857461,0.2,0.079,7.80023424460504e-08
"RPL22",3.17208032111257e-12,0.58611297241932,0.213,0.087,8.44629827102643e-08
"RPL5",3.31892416370827e-12,0.83650244358205,0.239,0.109,8.837299370706e-08
"BTG2",4.02930629327095e-12,0.671154334466816,0.806,0.692,1.07288338670926e-07
"RPS13",4.14294381873707e-12,0.773642077213569,0.348,0.192,1.10314165061512e-07
"RPS16",4.63682318459497e-12,0.797078479162111,0.329,0.186,1.2346469093621e-07
"NKG7",4.64446680112472e-12,1.35424363712302,0.178,0.069,1.23668217513548e-07
"ATP5MC3",4.83612577068591e-12,0.456601323156919,0.131,0.039,1.28771520896054e-07
"PRELID1",5.27109709539899e-12,0.576179569700745,0.292,0.141,1.40353502359189e-07
"AHNAK",6.34278332349544e-12,0.736570662919884,0.204,0.083,1.68889291554713e-07
"CYBA",8.85324558930225e-12,0.452462957834101,0.806,0.678,2.35735370306351e-07
"CD99",1.00009314529842e-11,0.666058388913057,0.18,0.07,2.66294801798612e-07
"RPL6",1.07365874501226e-11,0.816288547024715,0.284,0.145,2.85883114034414e-07
"NDUFA13",1.08773185398732e-11,0.58319715752237,0.19,0.076,2.89630360761203e-07
"STK38L",1.1317571744175e-11,-1.15757054397977,0.041,0.156,3.01352982832148e-07
"NDUFC2",1.25021118284341e-11,0.587688485462043,0.127,0.038,3.32893731655714e-07
"DDX5",1.28336961532519e-11,-0.50307456685634,0.585,0.718,3.41722827472637e-07
"CST3",1.37829924362036e-11,0.951354860260792,0.264,0.132,3.66999739598794e-07
"COX4I1",1.48383931874514e-11,0.854195260550309,0.341,0.195,3.95101895402269e-07
"SOD1",1.59366321158667e-11,0.446704359393607,0.125,0.037,4.24344703349183e-07
"TRBC1",1.7497326477456e-11,0.566550179657749,0.115,0.032,4.6590131211522e-07
"TLE5",1.75631344110047e-11,0.702053895158639,0.17,0.066,4.67653579961822e-07
"ICAM1",1.79968683304389e-11,-0.848332719527114,0.223,0.38,4.79202613034598e-07
"FOSB",1.92345346340543e-11,-0.808826207727556,0.409,0.544,5.12157953700965e-07
"KLF6",1.94045182663506e-11,0.557787459491762,0.389,0.224,5.16684107878117e-07
"DUSP2",1.96864012327136e-11,-0.904225166697861,0.323,0.461,5.24189805623465e-07
