"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KLF3",0.922155493666732,-0.347936118036744,0.304,0.301,1
"MIR29B2CHG",0.922612108589584,-0.328892181621629,0.147,0.15,1
"PDE4DIP",0.922701266700187,-0.168444649874958,0.198,0.202,1
"SLC12A6",0.923745421121965,-0.214047383088126,0.157,0.16,1
"CAMK1D",0.924191416514487,-0.166649987912779,0.195,0.196,1
"CHCHD7",0.924551290659796,-0.271762587470581,0.277,0.288,1
"NFKBID",0.925210951117788,-0.212483229961109,0.381,0.362,1
"CSDE1",0.925843342999874,-0.125461362961681,0.612,0.574,1
"NANS",0.926436414520224,-0.132378802063011,0.372,0.368,1
"PGRMC1",0.926936858005587,-0.111118605797974,0.136,0.141,1
"SLCO3A1",0.927525355961429,-0.336720971003805,0.108,0.104,1
"TNRC6B",0.929017260046979,-0.39502582719937,0.425,0.405,1
"VPS26C",0.930124392765117,-0.140104181368951,0.124,0.123,1
"IRF3",0.930237532038152,-0.303947265985593,0.29,0.279,1
"CDK11A",0.93171025650657,-0.107202560832245,0.201,0.209,1
"NT5C2",0.932545282626068,-0.154937319049727,0.109,0.11,1
"CRYBG3",0.934414473793738,-0.131912252075856,0.184,0.184,1
