"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GAS7",1.42751512680262e-06,-0.179709255603904,0.134,0.11,0.0380104452813734
"GNL3",1.43467739770496e-06,-0.111928058594868,0.152,0.174,0.03820115506869
"APOBEC3C",1.43665660967138e-06,0.138428442484555,0.302,0.283,0.0382538555457198
"UBE3C",1.45126994515347e-06,-0.10733712489833,0.127,0.149,0.0386429648296015
"SCAMP2",1.55233339255048e-06,0.105764493648917,0.325,0.303,0.0413339812434415
"BIRC6",1.5657369841643e-06,-0.171666884686701,0.317,0.344,0.0416908786773428
"MSL1",1.62245718898518e-06,-0.211401648268629,0.178,0.199,0.0432011675711083
"ARFGEF1",1.6387024512594e-06,-0.13916122019615,0.25,0.275,0.043633730169684
"ICE2",1.65417145707641e-06,-0.132016980427642,0.148,0.171,0.0440456233875735
"FAM126A",1.6627628912626e-06,-0.155393523335911,0.104,0.122,0.0442743875056492
"LSM10",1.70531272223672e-06,0.117254692323034,0.256,0.234,0.0454073618549972
"DENND4A",1.84845716420705e-06,-0.160047681674295,0.18,0.201,0.0492188689113411
"ATG12",2.04681820678575e-06,-0.112295198537838,0.225,0.253,0.0545006283920842
"PTAR1",2.06272367100472e-06,-0.164265920096244,0.124,0.144,0.0549241431878428
"RBM33",2.11382086154941e-06,-0.187637135371714,0.252,0.276,0.0562847080804762
"HBP1",2.16716878012635e-06,-0.113850186778635,0.234,0.259,0.0577052031084243
"TAF1",2.22732840416407e-06,-0.139703985808238,0.127,0.147,0.0593070734176768
"PDCD6IP",2.28294011557533e-06,-0.153066685904989,0.289,0.316,0.0607878464574242
"ARHGAP5",2.52074371378439e-06,-0.204185363237122,0.109,0.126,0.067119842866937
"MT1F",2.57505388135323e-06,0.101185886138161,0.129,0.111,0.0685659596987925
"MGA",2.58320882343008e-06,-0.146401930293874,0.14,0.161,0.0687831013414727
"SRCAP",2.76158686200905e-06,-0.101656909717948,0.099,0.119,0.0735327733747151
"PHB",2.8190108032822e-06,0.105202925989601,0.271,0.25,0.0750618006589951
"ZC3H14",3.12195759189717e-06,-0.10396096196021,0.101,0.12,0.083128364799446
"SIRT1",3.42246104788223e-06,-0.100667702562879,0.159,0.181,0.0911298703219601
"RUFY3",3.47751193425976e-06,-0.356087398771857,0.097,0.113,0.0925957102735347
"CUTA",3.86416691930771e-06,0.118477115253161,0.503,0.486,0.102891172560406
"PRPF38B",4.19819811415668e-06,-0.155423767722683,0.482,0.509,0.11178542118565
"FUBP1",4.25232779627235e-06,-0.101048920069243,0.286,0.315,0.113226732231344
"MPHOSPH8",4.39103292626439e-06,-0.22372944464945,0.51,0.533,0.116920033727642
"ZNF276",4.53778599447732e-06,-0.114111578847996,0.186,0.212,0.120827627674948
"KPNA1",4.59032647888747e-06,-0.110025238510255,0.139,0.16,0.122226623153337
"NUMA1",4.61666204531451e-06,-0.182000289219427,0.201,0.222,0.12292786028059
"CD58",4.62548127019255e-06,-0.104088303341383,0.211,0.235,0.123162689781417
"WIPF1",4.78919749280109e-06,-0.107395074094006,0.578,0.605,0.127521961640815
"GPBP1",4.95487127197618e-06,-0.141182860660433,0.465,0.495,0.13193335735891
"FMR1",5.12597151162585e-06,-0.135444576276368,0.143,0.163,0.136489243440062
"PPP6R3",5.16279101175437e-06,-0.145715761956742,0.187,0.208,0.137469636269984
"MEA1",5.20612319758984e-06,0.123340066750061,0.233,0.213,0.138623442382225
"TCF25",5.31714352124488e-06,-0.180276411532193,0.536,0.557,0.141579580540187
"TBCB",5.48025310395478e-06,0.117168609072222,0.422,0.406,0.145922699399004
"ARL4A",5.49566445967666e-06,-0.181561040704003,0.205,0.224,0.14633305756781
"PNN",5.53537852725458e-06,-0.159198999917705,0.536,0.554,0.147390524045208
"IL2RG",5.5597556710301e-06,0.146051885632267,0.709,0.708,0.148039614252518
"FBXL3",5.99094627520252e-06,-0.119789820556984,0.152,0.173,0.159520926469817
"FLT3LG",6.00024088482571e-06,0.157943723055589,0.274,0.262,0.159768414040254
"LCOR",6.16752346959888e-06,-0.148188100847005,0.186,0.206,0.164222647425009
"TMF1",6.31721317666731e-06,-0.117674713434799,0.318,0.345,0.16820843525512
"GPBP1L1",6.68728975901232e-06,-0.103033797255531,0.196,0.219,0.178062464413221
"CDKN1A",6.7775536770228e-06,-0.247390410841783,0.308,0.266,0.180465921758086
"CLIP1",6.93854674077614e-06,-0.163312004344101,0.232,0.253,0.184752684066646
"TRMT13",7.09366176102471e-06,-0.105864326863322,0.09,0.108,0.188882931710805
"TXN",7.44640721118556e-06,0.106369338605391,0.495,0.478,0.198275484812238
"BBX",7.5776015348735e-06,-0.117169663713497,0.307,0.334,0.201768796069077
