"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PTP4A2",0.811638056121299,0.225432659331849,0.121,0.133,1
"BRD7",0.815994492336094,0.204626362427544,0.101,0.111,1
"NBL1",0.821206784821864,0.176013994834829,0.132,0.131,1
"ARID5B",0.823619206056495,0.203534155337983,0.132,0.128,1
"RNF115",0.827746424428111,0.151147167425127,0.132,0.144,1
"TERF2IP",0.828826862200519,0.220724886350629,0.117,0.114,1
"ARHGAP5",0.833607249104924,0.277581565966877,0.152,0.156,1
"HLA-B",0.834887238578213,0.126605962427905,0.304,0.344,1
"SMARCE1",0.834989515718096,0.271225530354794,0.117,0.117,1
"BNIP3L",0.835033479073071,0.227732063930684,0.125,0.122,1
"KLF9",0.83559452581496,0.280484321670154,0.156,0.158,1
"LRPAP1",0.837771048310634,0.244088377163218,0.105,0.103,1
"NPM1",0.837942715150679,0.241440567398576,0.125,0.136,1
"ATP6V0E1",0.840217537587477,0.459390958602638,0.105,0.106,1
"BTG1",0.845030523813833,0.238319209992684,0.249,0.264,1
"PPIB",0.846404591376342,0.101727414663573,0.144,0.153,1
"EEF2",0.846478051664561,0.158419682684645,0.16,0.172,1
"PRDM2",0.847827157238283,0.298921424350464,0.128,0.131,1
"MZT2B",0.849447776781299,0.326636935064916,0.136,0.136,1
"RORA",0.850203360573777,0.396304647032388,0.113,0.114,1
"ATP5F1C",0.857612559344209,0.195418970247474,0.117,0.114,1
"NR3C1",0.85851010460905,0.251923632195922,0.241,0.253,1
"EEF1D",0.858621925361627,0.310740904011694,0.198,0.206,1
"TRMT112",0.863096127697816,0.150404516421454,0.093,0.1,1
"ANKRD44",0.863696419781552,0.189875634305895,0.101,0.1,1
"RGS5",0.864345240428476,-0.199019679313651,0.58,0.6,1
"AFF1",0.864378898064416,0.202891944835959,0.132,0.144,1
"RBX1",0.864659799922426,0.406864060368903,0.097,0.106,1
"SEC61B",0.869222774603436,0.125406894907891,0.097,0.103,1
"MYO9A",0.870456465777255,0.328495908635952,0.136,0.15,1
"EP300",0.872269572965626,0.313074606312648,0.105,0.106,1
"IFITM3",0.873980924366234,0.270931294476265,0.307,0.322,1
"NDUFS1",0.87669213479898,0.255315559663407,0.113,0.114,1
"QKI",0.878550024582541,0.304918956941567,0.261,0.281,1
"ANAPC16",0.880544908818713,0.326341570382079,0.14,0.142,1
"NFIB",0.883435318128617,0.248251087860147,0.268,0.294,1
"ZNF302",0.885882546931284,0.104802723879058,0.109,0.117,1
"NDUFV3",0.886222014249555,0.195836016627718,0.14,0.142,1
"CD302",0.887928850269858,0.132710518973485,0.113,0.119,1
"CDS2",0.892135534688038,0.21302028666,0.117,0.125,1
"ZNF644",0.897354900415762,0.34731869185156,0.132,0.136,1
"CALCOCO2",0.897385374832647,0.245019251341362,0.101,0.108,1
"MEF2A",0.897391230601809,0.223180897412887,0.163,0.178,1
"CD164",0.89758512266277,0.332786729614714,0.128,0.131,1
"ASH1L",0.899140285810608,0.213218289053759,0.284,0.331,1
"PPM1K",0.900543724544529,0.208820576871408,0.125,0.128,1
"SERPINB6",0.900870420464607,0.206483497113753,0.198,0.208,1
"RSF1",0.902736528639754,0.207654429725582,0.156,0.158,1
"MAP4",0.90429441647294,0.414113634220999,0.214,0.236,1
"ASAH1",0.905659382142585,0.150281269513276,0.288,0.3,1
"ACTB",0.907959846208437,-0.122166383597945,0.377,0.411,1
"GOLIM4",0.91252473274302,0.308957924492437,0.117,0.119,1
"FBN1",0.912883000241264,0.479110613414741,0.175,0.186,1
"RANBP2",0.91290912555988,0.1635535196616,0.121,0.122,1
"H1FX",0.916819241437786,0.154404477953842,0.132,0.133,1
"COX6A1",0.919280734465583,0.289275788819138,0.125,0.125,1
"PPIA",0.919798437019222,0.107440497075739,0.167,0.178,1
"SAT2",0.92464771040266,0.220292841242109,0.105,0.111,1
"CYCS",0.924647713692449,0.390989326718191,0.105,0.111,1
"BSG",0.925277978840467,0.214086786994089,0.125,0.133,1
